id,fasta,taxonomy
Bommor,/users/asebe/xgraubove/genomes/data/Bommor_long.pep.fasta,Bilateria
Strmar,/users/asebe/xgraubove/genomes/data/Strmar_long.pep.fasta,Bilateria
Brumal,/users/asebe/xgraubove/genomes/data/Brumal_long.pep.fasta,Bilateria
Cele,/users/asebe/xgraubove/genomes/data/Cele_long.pep.fasta,Bilateria
Romcul,/users/asebe/xgraubove/genomes/data/Romcul_long.pep.fasta,Bilateria
Trispi,/users/asebe/xgraubove/genomes/data/Trispi_long.pep.fasta,Bilateria
Pricau,/users/asebe/xgraubove/genomes/data/Pricau_long.pep.fasta,Bilateria
Hduj,/users/asebe/xgraubove/genomes/data/Hduj_long.pep.fasta,Bilateria
Ramvar,/users/asebe/xgraubove/genomes/data/Ramvar_long.pep.fasta,Bilateria
Ctel,/users/asebe/xgraubove/genomes/data/Ctel_long.pep.fasta,Bilateria
Dimgyr,/users/asebe/xgraubove/genomes/data/Dimgyr_long.pep.fasta,Bilateria
Helrob,/users/asebe/xgraubove/genomes/data/Helrob_long.pep.fasta,Bilateria
Owefus,/users/asebe/xgraubove/genomes/data/Owefus_long.pep.fasta,Bilateria
Linana,/users/asebe/xgraubove/genomes/data/Linana_long.pep.fasta,Bilateria
Bugner,/users/asebe/xgraubove/genomes/data/Bugner_long.pep.fasta,Bilateria
Cgig,/users/asebe/xgraubove/genomes/data/Cgig_long.pep.fasta,Bilateria
Pecmax,/users/asebe/xgraubove/genomes/data/Pecmax_long.pep.fasta,Bilateria
Ampfan,/users/asebe/xgraubove/genomes/data/Ampfan_long.pep.fasta,Bilateria
Argarg,/users/asebe/xgraubove/genomes/data/Argarg_long.pep.fasta,Bilateria
Eupsco,/users/asebe/xgraubove/genomes/data/Eupsco_long.pep.fasta,Bilateria
Naupom,/users/asebe/xgraubove/genomes/data/Naupom_long.pep.fasta,Bilateria
Octbim,/users/asebe/xgraubove/genomes/data/Octbim_long.pep.fasta,Bilateria
Octsin,/users/asebe/xgraubove/genomes/data/Octsin_long.pep.fasta,Bilateria
Aplcal,/users/asebe/xgraubove/genomes/data/Aplcal_long.pep.fasta,Bilateria
Biogla,/users/asebe/xgraubove/genomes/data/Biogla_long.pep.fasta,Bilateria
Elychl,/users/asebe/xgraubove/genomes/data/Elychl_long.pep.fasta,Bilateria
Lgig,/users/asebe/xgraubove/genomes/data/Lgig_long.pep.fasta,Bilateria
Pomcan,/users/asebe/xgraubove/genomes/data/Pomcan_long.pep.fasta,Bilateria
Acagra,/users/asebe/xgraubove/genomes/data/Acagra_long.pep.fasta,Bilateria
Linlon,/users/asebe/xgraubove/genomes/data/Linlon_long.pep.fasta,Bilateria
Notgen,/users/asebe/xgraubove/genomes/data/Notgen_long.pep.fasta,Bilateria
Phoaus,/users/asebe/xgraubove/genomes/data/Phoaus_long.pep.fasta,Bilateria
Dugjap,/users/asebe/xgraubove/genomes/data/Dugjap_long.pep.fasta,Bilateria
Emul,/users/asebe/xgraubove/genomes/data/Emul_long.pep.fasta,Bilateria
Maclig,/users/asebe/xgraubove/genomes/data/Maclig_long.pep.fasta,Bilateria
Sman,/users/asebe/xgraubove/genomes/data/Sman_long.pep.fasta,Bilateria
Smed2,/users/asebe/xgraubove/genomes/data/Smed2_long.pep.fasta,Bilateria
Bracal,/users/asebe/xgraubove/genomes/data/Bracal_long.pep.fasta,Bilateria
Brapli,/users/asebe/xgraubove/genomes/data/Brapli_long.pep.fasta,Bilateria
Mbre,/users/asebe/xgraubove/genomes/data/Mbre_long.pep.fasta,Choanoflagellata
Sros,/users/asebe/xgraubove/genomes/data/Sros_long.pep.fasta,Choanoflagellata
Exapal,/users/asebe/xgraubove/genomes/data/Exapal_long.pep.fasta,Cnidaria
Nvec,/users/asebe/xgraubove/genomes/data/Nvec_long.pep.fasta,Cnidaria
Adig,/users/asebe/xgraubove/genomes/data/Adig_long.pep.fasta,Cnidaria
Amil,/users/asebe/xgraubove/genomes/data/Amil_long.pep.fasta,Cnidaria
Gfas,/users/asebe/xgraubove/genomes/data/Gfas_long.pep.fasta,Cnidaria
Fspp,/users/asebe/xgraubove/genomes/data/Fspp_long.pep.fasta,Cnidaria
Gasp,/users/asebe/xgraubove/genomes/data/Gasp_long.pep.fasta,Cnidaria
Pocdam,/users/asebe/xgraubove/genomes/data/Pocdam_long.pep.fasta,Cnidaria
Spis,/users/asebe/xgraubove/genomes/data/Spis_long.pep.fasta,Cnidaria
Dgig,/users/asebe/xgraubove/genomes/data/Dgig_long.pep.fasta,Cnidaria
Xesp,/users/asebe/xgraubove/genomes/data/Xesp_long.pep.fasta,Cnidaria
Morvir,/users/asebe/xgraubove/genomes/data/Morvir_long.pep.fasta,Cnidaria
Hvul,/users/asebe/xgraubove/genomes/data/Hvul_long.pep.fasta,Cnidaria
Chem,/users/asebe/xgraubove/genomes/data/Chem_long.pep.fasta,Cnidaria
Nemnom,/users/asebe/xgraubove/genomes/data/Nemnom_long.pep.fasta,Cnidaria
Rhoesc,/users/asebe/xgraubove/genomes/data/Rhoesc_long.pep.fasta,Cnidaria
Aaur,/users/asebe/xgraubove/genomes/data/Aaur_long.pep.fasta,Cnidaria
Sanmal,/users/asebe/xgraubove/genomes/data/Sanmal_long.pep.fasta,Cnidaria
Beraby,/users/asebe/xgraubove/genomes/data/Beraby_long.pep.fasta,Ctenophora
Berova,/users/asebe/xgraubove/genomes/data/Berova_long.pep.fasta,Ctenophora
Drygla,/users/asebe/xgraubove/genomes/data/Drygla_long.pep.fasta,Ctenophora
Eupdun,/users/asebe/xgraubove/genomes/data/Eupdun_long.pep.fasta,Ctenophora
Lampan,/users/asebe/xgraubove/genomes/data/Lampan_long.pep.fasta,Ctenophora
Mertsp,/users/asebe/xgraubove/genomes/data/Mertsp_long.pep.fasta,Ctenophora
Bolinf,/users/asebe/xgraubove/genomes/data/Bolinf_long.pep.fasta,Ctenophora
Bolmic,/users/asebe/xgraubove/genomes/data/Bolmic_long.pep.fasta,Ctenophora
Horcal,/users/asebe/xgraubove/genomes/data/Horcal_long.pep.fasta,Ctenophora
Mlei,/users/asebe/xgraubove/genomes/data/Mlei_long.pep.fasta,Ctenophora
Plebac,/users/asebe/xgraubove/genomes/data/Plebac_long.pep.fasta,Ctenophora
Coeast,/users/asebe/xgraubove/genomes/data/Coeast_long.pep.fasta,Ctenophora
Coemet,/users/asebe/xgraubove/genomes/data/Coemet_long.pep.fasta,Ctenophora
Vmul,/users/asebe/xgraubove/genomes/data/Vmul_long.pep.fasta,Ctenophora
Cowc,/users/asebe/xgraubove/genomes/data/Cowc_long.pep.fasta,Filasterea
Mvib,/users/asebe/xgraubove/genomes/data/Mvib_long.pep.fasta,Filasterea
Hhon,/users/asebe/xgraubove/genomes/data/Hhon_long.pep.fasta,Placozoa
HoiH04,/users/asebe/xgraubove/genomes/data/HoiH04_long.pep.fasta,Placozoa
HoiH06,/users/asebe/xgraubove/genomes/data/HoiH06_long.pep.fasta,Placozoa
HoiH11,/users/asebe/xgraubove/genomes/data/HoiH11_long.pep.fasta,Placozoa
HoiH23,/users/asebe/xgraubove/genomes/data/HoiH23_long.pep.fasta,Placozoa
Tadh_v2,/users/asebe/xgraubove/genomes/data/Tadh_v2_long.pep.fasta,Placozoa
TrH2,/users/asebe/xgraubove/genomes/data/TrH2_long.pep.fasta,Placozoa
Leuniv,/users/asebe/xgraubove/genomes/data/Leuniv_long.pep.fasta,Porifera
Gracom,/users/asebe/xgraubove/genomes/data/Gracom_long.pep.fasta,Porifera
Scil,/users/asebe/xgraubove/genomes/data/Scil_long.pep.fasta,Porifera
Clacla,/users/asebe/xgraubove/genomes/data/Clacla_long.pep.fasta,Porifera
Clacor,/users/asebe/xgraubove/genomes/data/Clacor_long.pep.fasta,Porifera
Stycar,/users/asebe/xgraubove/genomes/data/Stycar_long.pep.fasta,Porifera
Halamb,/users/asebe/xgraubove/genomes/data/Halamb_long.pep.fasta,Porifera
Aque,/users/asebe/xgraubove/genomes/data/Aque_long.pep.fasta,Porifera
Petfic,/users/asebe/xgraubove/genomes/data/Petfic_long.pep.fasta,Porifera
Xestes,/users/asebe/xgraubove/genomes/data/Xestes_long.pep.fasta,Porifera
Emue,/users/asebe/xgraubove/genomes/data/Emue_long.pep.fasta,Porifera
Euncar,/users/asebe/xgraubove/genomes/data/Euncar_long.pep.fasta,Porifera
Spolac,/users/asebe/xgraubove/genomes/data/Spolac_long.pep.fasta,Porifera
Tetwil,/users/asebe/xgraubove/genomes/data/Tetwil_long.pep.fasta,Porifera
Plespi,/users/asebe/xgraubove/genomes/data/Plespi_long.pep.fasta,Porifera
Choren,/users/asebe/xgraubove/genomes/data/Choren_long.pep.fasta,Porifera
Ocar,/users/asebe/xgraubove/genomes/data/Ocar_long.pep.fasta,Porifera
Osclob,/users/asebe/xgraubove/genomes/data/Osclob_long.pep.fasta,Porifera
Plajan,/users/asebe/xgraubove/genomes/data/Plajan_long.pep.fasta,Porifera
Clim,/users/asebe/xgraubove/genomes/data/Clim_long.pep.fasta,Teretosporea
Chrper,/users/asebe/xgraubove/genomes/data/Chrper_long.pep.fasta,Teretosporea
Cfra,/users/asebe/xgraubove/genomes/data/Cfra_long.pep.fasta,Teretosporea
